validTime,primary,primaryUnits,secondary,secondaryUnits,generatedTime
2025-10-28T01:15:00Z,8.37,ft,0.0453,kcfs,2025-10-28T02:09:08Z
2025-10-28T01:30:00Z,8.37,ft,0.0453,kcfs,2025-10-28T02:09:08Z
2025-10-28T01:45:00Z,8.37,ft,0.0453,kcfs,2025-10-28T02:09:08Z
2025-10-28T02:00:00Z,8.35,ft,0.0437,kcfs,2025-10-28T03:09:08Z
2025-10-28T02:15:00Z,8.36,ft,0.0445,kcfs,2025-10-28T03:09:08Z
2025-10-28T02:30:00Z,8.35,ft,0.0437,kcfs,2025-10-28T03:09:08Z
2025-10-28T02:45:00Z,8.35,ft,0.0437,kcfs,2025-10-28T02:54:08Z
2025-10-28T03:00:00Z,8.34,ft,0.0429,kcfs,2025-10-28T04:09:08Z
2025-10-28T03:15:00Z,8.34,ft,0.0429,kcfs,2025-10-28T04:09:08Z
2025-10-28T03:30:00Z,8.35,ft,0.0437,kcfs,2025-10-28T04:09:08Z
2025-10-28T03:45:00Z,8.36,ft,0.0445,kcfs,2025-10-28T04:09:08Z
2025-10-28T04:00:00Z,8.36,ft,0.0445,kcfs,2025-10-28T05:09:07Z
2025-10-28T04:15:00Z,8.36,ft,0.0445,kcfs,2025-10-28T05:09:07Z
2025-10-28T04:30:00Z,8.36,ft,0.0445,kcfs,2025-10-28T05:09:07Z
2025-10-28T04:45:00Z,8.36,ft,0.0445,kcfs,2025-10-28T05:09:07Z
2025-10-28T05:00:00Z,8.37,ft,0.0453,kcfs,2025-10-28T06:09:08Z
2025-10-28T05:15:00Z,8.39,ft,0.047,kcfs,2025-10-28T06:09:08Z
2025-10-28T05:30:00Z,8.39,ft,0.047,kcfs,2025-10-28T06:09:08Z
2025-10-28T05:45:00Z,8.4,ft,0.0479,kcfs,2025-10-28T06:09:08Z
2025-10-28T06:00:00Z,8.41,ft,0.0488,kcfs,2025-10-28T07:09:08Z
2025-10-28T06:15:00Z,8.42,ft,0.0497,kcfs,2025-10-28T07:09:08Z
2025-10-28T06:30:00Z,8.42,ft,0.0497,kcfs,2025-10-28T07:09:08Z
2025-10-28T06:45:00Z,8.43,ft,0.0506,kcfs,2025-10-28T07:09:08Z
2025-10-28T07:00:00Z,8.43,ft,0.0506,kcfs,2025-10-28T08:09:09Z
2025-10-28T07:15:00Z,8.42,ft,0.0497,kcfs,2025-10-28T08:09:09Z
2025-10-28T07:30:00Z,8.41,ft,0.0488,kcfs,2025-10-28T08:09:09Z
2025-10-28T07:45:00Z,8.41,ft,0.0488,kcfs,2025-10-28T08:09:09Z
2025-10-28T08:00:00Z,8.4,ft,0.0479,kcfs,2025-10-28T09:09:07Z
2025-10-28T08:15:00Z,8.39,ft,0.047,kcfs,2025-10-28T09:09:07Z
2025-10-28T08:30:00Z,8.38,ft,0.0462,kcfs,2025-10-28T09:09:07Z
2025-10-28T08:45:00Z,8.36,ft,0.0445,kcfs,2025-10-28T09:09:07Z
2025-10-28T09:00:00Z,8.34,ft,0.0429,kcfs,2025-10-28T10:09:08Z
2025-10-28T09:15:00Z,8.32,ft,0.0414,kcfs,2025-10-28T10:09:08Z
2025-10-28T09:30:00Z,8.29,ft,0.0392,kcfs,2025-10-28T10:09:08Z
2025-10-28T09:45:00Z,8.26,ft,0.0371,kcfs,2025-10-28T10:09:08Z
2025-10-28T10:00:00Z,8.23,ft,0.0351,kcfs,2025-10-28T11:09:08Z
2025-10-28T10:15:00Z,8.19,ft,0.0326,kcfs,2025-10-28T11:09:08Z
2025-10-28T10:30:00Z,8.16,ft,0.0304,kcfs,2025-10-28T11:09:08Z
2025-10-28T10:45:00Z,8.14,ft,0.029,kcfs,2025-10-28T11:09:08Z
2025-10-28T11:00:00Z,8.11,ft,0.0269,kcfs,2025-10-28T12:09:08Z
2025-10-28T11:15:00Z,8.08,ft,0.0249,kcfs,2025-10-28T12:09:08Z
2025-10-28T11:30:00Z,8.05,ft,0.0231,kcfs,2025-10-28T12:09:08Z
2025-10-28T11:45:00Z,8.01,ft,0.0209,kcfs,2025-10-28T12:09:08Z
2025-10-28T12:00:00Z,7.98,ft,0.0193,kcfs,2025-10-28T13:09:07Z
2025-10-28T12:15:00Z,7.95,ft,0.0179,kcfs,2025-10-28T13:09:07Z
2025-10-28T12:30:00Z,7.93,ft,0.017,kcfs,2025-10-28T13:09:07Z
2025-10-28T12:45:00Z,7.9,ft,0.015,kcfs,2025-10-28T13:09:07Z
2025-10-28T13:00:00Z,7.88,ft,0.0137,kcfs,2025-10-28T14:09:08Z
2025-10-28T13:15:00Z,7.87,ft,0.0132,kcfs,2025-10-28T14:09:08Z
2025-10-28T13:30:00Z,7.86,ft,0.0126,kcfs,2025-10-28T14:09:08Z
2025-10-28T13:45:00Z,7.85,ft,0.0121,kcfs,2025-10-28T14:09:08Z
2025-10-28T14:00:00Z,7.85,ft,0.0121,kcfs,2025-10-28T15:09:10Z
2025-10-28T14:15:00Z,7.85,ft,0.0121,kcfs,2025-10-28T15:09:10Z
2025-10-28T14:30:00Z,7.84,ft,0.0116,kcfs,2025-10-28T15:09:10Z
2025-10-28T14:45:00Z,7.81,ft,0.0102,kcfs,2025-10-28T15:09:10Z
2025-10-28T15:00:00Z,7.76,ft,0.0082,kcfs,2025-10-28T16:09:10Z
2025-10-28T15:15:00Z,7.7,ft,0.0063,kcfs,2025-10-28T16:09:10Z
2025-10-28T15:30:00Z,7.64,ft,0.0049,kcfs,2025-10-28T16:09:10Z
2025-10-28T15:45:00Z,7.58,ft,0.0037,kcfs,2025-10-28T16:09:10Z
2025-10-28T16:00:00Z,7.52,ft,0.0029,kcfs,2025-10-28T17:09:08Z
2025-10-28T16:15:00Z,7.47,ft,0.0023,kcfs,2025-10-28T17:09:08Z
